CREATE_DATE,OPERATOR,TYPE,PARTNUMBER,LOTID,VERSION,UNIT,DATA_VOL,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20,AVERAGE,DATA_MIN,DATA_MAX,DATA_RANGE,SU,SL,UCL,LCL,RS_UCL,USER_COMMENT,ISSUE_NO
20221112023053,HVPQC010,SM-S2 SOLDER PASTE VOLUME BGA PAD,M393A8G40BB4-CWECO-6SC,H0KP000245,1,%,5,114.7,115.9,118.8,114.9,117.8,,,,,,,,,,,,,,,,116.42,114.7,118.8,4.1,180.0,50.0,122.66,105.84,30.83,,S20221113010
20221124024538,HVPQC010,PCB WARPAGE RDIMM,M393A8G40BB4-CWECO-6SB,T0AX000247,1,MM,12,-0.182,0.243,0.156,0.133,-0.194,-0.113,-0.19,0.246,0.148,0.132,-0.196,-0.109,,,,,,,,,0.006,-0.196,0.246,0.442,0.4,-0.4,0.4,-0.4,4.0,IMAS-08,
20221124024538,HVPQC010,PCB WARPAGE RDIMM,M393A8G40AB2-CWECO-6SC,H0E1000247,1,MM,12,0.129,0.14,-0.084,-0.025,-0.036,0.071,0.005,-0.008,0.133,-0.194,-0.113,-0.19,,,,,,,,,-0.014,-0.194,0.14,0.334,0.4,-0.4,0.4,-0.4,4.0,IMAS-16,S20221124001
20221124024538,HVPQC010,PCB WARPAGE RDIMM,M321R8GA0BB0-CQKDS-6GB,T0UTU03246,0,MM,12,0.113,0.224,-0.204,0.217,0.019,-0.06,0.202,-0.192,0.113,0.224,-0.204,0.019,,,,,,,,,0.039,-0.204,0.224,0.428,0.4,-0.4,0.4,-0.4,4.0,IMAS-13,
20221125112138,HVPQC010,D4-L/RD-YRT6 ROUTING PCB DIMENSION CHECK A,M393A8G40BB4-CWEGY-6SC,H1YO000247,0,MM,6,133.331,133.328,133.335,133.33,133.336,133.341,,,,,,,,,,,,,,,133.334,133.328,133.341,0.013,133.48,133.22,133.48,133.22,0.13,YRT-06,
20221125112138,HVPQC010,D4-L/RD-YRT02 ROUTING PCB DIMENSION CHECK A,M393A8G40BB4-CWECO-6SB,T1ZJ000247,0,MM,6,133.385,133.39,133.39,133.384,133.389,133.39,,,,,,,,,,,,,,,133.388,133.384,133.39,0.006,133.48,133.22,133.43,133.29,0.094,YRT-02,
20221125112138,HVPQC010,D4-L/RD-5 ROUTING PCB DIMENSION CHECK A,M393A8G40BB4-CWECO-6SB,T1ZC000247,0,MM,6,133.336,133.322,133.326,133.335,133.326,133.327,,,,,,,,,,,,,,,133.329,133.322,133.336,0.014,133.48,133.22,133.356,133.318,0.1329,RT-05,
20221125112138,HVPQC010,D4-L/RD-YRT 11 ROUTING PCB DIMENSION CHECK A,M393A8G40BB4-CWEGY-6SB,H1YD000247,0,MM,6,133.337,133.325,133.324,133.334,133.327,133.325,,,,,,,,,,,,,,,133.329,133.324,133.337,0.013,133.48,133.22,133.48,133.22,0.13,YRT-11,
20221125112138,HVPQC010,D4-L/RD-YRT 14 ROUTING PCB DIMENSION CHECK A,M393A8G40BB4-CWEGY-6SC,H1YJ000247,0,MM,6,133.355,133.354,133.375,133.363,133.363,133.344,,,,,,,,,,,,,,,133.359,133.344,133.375,0.031,133.48,133.22,133.48,133.22,0.13,YRT-14,
20221125112138,HVPQC010,D4-L/RD-YRT01 ROUTING PCB DIMENSION CHECK A,M393A8G40BB4-CWECO-6SC,H1YH000247,0,MM,6,133.348,133.347,133.336,133.347,133.343,133.351,,,,,,,,,,,,,,,133.345,133.336,133.351,0.015,133.48,133.22,133.445,133.295,0.1036,YRT-01,
20221125112138,HVPQC010,D4-L/RD-YRT03 ROUTING PCB DIMENSION CHECK A,M393A8G40BB4-CWECO-6SC,H1LG000247,0,MM,6,133.386,133.394,133.388,133.39,133.395,133.394,,,,,,,,,,,,,,,133.391,133.386,133.395,0.009,133.48,133.22,133.439,133.295,0.0918,YRT-03,
20221125112138,HVPQC010,D4-L/RD-YRT 12 ROUTING PCB DIMENSION CHECK A,M393A8G40BB4-CWEGY-6SC,H1YL000247,1,MM,6,133.317,133.32,133.317,133.319,133.318,133.32,,,,,,,,,,,,,,,133.319,133.317,133.32,0.003,133.48,133.22,133.48,133.22,0.13,YRT-12,
20221126203707,HVPRO105,SM2A1 SOLDER PASTE VOLUME BGA PAD,MZQL23T8HCLS-00AAZ-6V7,H1LV000247,0,%,5,110.7,109.8,107.3,110.5,113.4,,,,,,,,,,,,,,,,110.34,107.3,113.4,6.1,180.0,50.0,180.0,50.0,30.0,,S20221126033
20221126203950,HVPRO105,SM2A2 SOLDER PASTE VOLUME BGA PAD,MZQL23T8HCLS-00AAZ-6V7,H1LX000247,0,%,5,112.8,115.9,113.7,110.9,110.4,,,,,,,,,,,,,,,,112.74,110.4,115.9,5.5,180.0,50.0,180.0,50.0,30.0,,S20221126034
20221127020749,HVPQC010,SM-O2 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEBY-6SC,H0XA000247,1,%,5,109.5,110.5,111.0,114.6,113.7,,,,,,,,,,,,,,,,111.86,109.5,114.6,5.1,180.0,50.0,124.94,108.17,30.75,,S20221127050
20221127020749,HVPQC010,SM-R1 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEBY-6SC,H0IE000247,0,%,5,120.0,121.3,118.9,119.6,117.5,,,,,,,,,,,,,,,,119.46,117.5,121.3,3.8,180.0,50.0,122.41,105.87,30.31,,
20221127020749,HVPQC010,SM-R2 SOLDER PASTE VOLUME BGA PAD,M393A4K40EB3-CWEBY-6SC,H0IE000247,1,%,5,118.5,122.4,117.3,119.0,120.1,,,,,,,,,,,,,,,,119.46,117.3,122.4,5.1,180.0,50.0,123.21,104.77,33.81,,S20221127051
20221127020749,HVPQC010,SM-S1 SOLDER PASTE VOLUME BGA PAD,M393A8G40BB4-CWEGY-6SB,T1RP000247,0,%,5,118.9,116.6,121.0,122.4,119.5,,,,,,,,,,,,,,,,119.68,116.6,122.4,5.8,180.0,50.0,122.89,106.37,30.29,,S20221127052
20221127020749,HVPQC010,SM-S2 SOLDER PASTE VOLUME BGA PAD,M393A8G40BB4-CWEGY-6SB,T1RP000247,1,%,5,115.8,119.6,118.0,120.6,121.0,,,,,,,,,,,,,,,,119.0,115.8,121.0,5.2,180.0,50.0,122.66,105.84,30.83,,S20221127053
20221121012908,HVPQC010,D4-L/RD-YRT 11 ROUTING PCB DIMENSION CHECK A,M393A4K40EB3-CWEBY-6SC,H1JB000246,0,MM,6,133.367,133.372,133.368,133.371,133.372,133.377,,,,,,,,,,,,,,,133.371,133.367,133.377,0.01,133.48,133.22,133.48,133.22,0.13,YRT-11,
20221121031437,HVPQC010,PCB WARPAGE RDIMM,M393A8G40BB4-CWECO-6SB,T0HC020246,0,MM,12,0.069,-0.053,-0.076,0.019,-0.019,0.019,-0.011,0.005,-0.037,0.019,0.039,-0.084,,,,,,,,,-0.009,-0.084,0.069,0.153,0.4,-0.4,0.4,-0.4,4.0,IMAS-09,S20221121001
20221121031437,HVPQC010,PCB WARPAGE RDIMM,M393A4K40EB3-CWEBY-6SC,H0UL000246,1,MM,12,0.076,-0.073,-0.083,-0.061,0.019,-0.149,0.081,0.019,-0.022,-0.109,0.081,-0.117,,,,,,,,,-0.028,-0.149,0.081,0.23,0.4,-0.4,0.4,-0.4,4.0,IMAS-01,S20221121002
20221121031437,HVPQC010,PCB WARPAGE RDIMM,M393A8G40BB4-CWECO-6SC,T0HG020246,0,MM,12,-0.137,-0.149,-0.108,0.019,-0.022,-0.109,-0.107,0.019,-0.011,0.081,-0.11,-0.121,,,,,,,,,-0.063,-0.149,0.081,0.23,0.4,-0.4,0.4,-0.4,4.0,IMAS-16,S20221121003
20221121033901,HVPQC010,PCB WARPAGE RDIMM,M393A4K40EB3-CWEBY-6SC,H0H7020246,0,MM,12,-0.135,-0.136,0.075,0.031,-0.134,-0.135,0.078,-0.118,-0.012,-0.119,0.031,-0.117,,,,,,,,,-0.058,-0.136,0.078,0.214,0.4,-0.4,0.4,-0.4,4.0,IMAS-02,S20221121004
20221121033901,HVPQC010,PCB WARPAGE RDIMM,M393A4K40EB3-CWEBY-6SC,T0YG000246,1,MM,12,-0.141,-0.146,0.073,0.025,-0.021,-0.117,0.025,-0.141,-0.141,-0.146,0.073,-0.109,,,,,,,,,-0.064,-0.146,0.073,0.219,0.4,-0.4,0.4,-0.4,4.0,IMAS-10,S20221121005
